RTs,subs,class,EncAct,subsMem,ECent
1.3733,3,FALSE,-0.98369,2,0.0056633
1.6812,3,TRUE,-1.1002,1,0.46029
1.227,3,TRUE,1.0776,2,0.16449
1.8464,3,FALSE,-1.021,2,0.25922
1.1139,3,TRUE,-0.48865,2,0.12271
1.1979,3,TRUE,2.4195,2,0.088806
1.0544,3,FALSE,-0.28725,2,0.2575
1.6182,3,FALSE,0.45846,1,0.13408
1.4219,3,TRUE,0.37701,2,0.13045
2.3057,3,FALSE,2.4776,2,0.13622
1.6703,3,TRUE,3.5756,2,0.50214
1.6822,3,TRUE,0.66024,2,0.22215
1.8618,3,TRUE,1.4649,2,0.055837
1.5537,3,FALSE,0.4223,1,0.0048765
1.8223,3,TRUE,-0.40688,2,-0.16674
1.1622,3,FALSE,0.7802,2,0.1148
1.286,3,TRUE,2.9169,2,0.31704
1.1023,3,TRUE,-1.3026,2,0.15024
1.33,3,TRUE,1.0393,2,0.31946
1.782,3,FALSE,-0.41103,1,-0.022366
0.88951,3,FALSE,-0.70519,1,0.35902
1.6302,3,FALSE,-1.0365,2,-0.28375
1.2901,3,TRUE,0.56563,2,0.19725
1.5338,3,FALSE,1.2899,2,-0.31352
0.81768,3,FALSE,-1.2462,1,0.19315
2.1664,3,FALSE,1.9851,1,-0.046507
1.5141,3,FALSE,0.027012,2,0.060106
1.6218,3,TRUE,1.6976,1,-0.0030448
1.7548,3,TRUE,0.26391,1,0.10558
1.214,3,TRUE,2.1128,2,-0.085298
1.3504,3,TRUE,1.8675,2,-0.22757
1.9303,3,TRUE,0.48504,1,0.099835
1.6862,3,FALSE,-0.2251,2,-0.24934
1.0738,3,TRUE,0.97336,2,0.090283
2.1104,3,FALSE,-2.2084,2,0.035939
1.5302,3,FALSE,3.0026,2,-0.0054482
0.95001,3,TRUE,0.42392,2,0.2247
1.6259,3,FALSE,-1.0841,2,-0.12346
1.8786,3,FALSE,0.74581,2,0.11792
1.6824,3,TRUE,0.5971,1,0.19261
1.7903,3,FALSE,1.3588,2,-0.20595
1.4658,3,FALSE,2.6672,2,-0.13599
0.92643,3,TRUE,1.5781,2,0.09341
1.3582,3,FALSE,0.75741,2,0.038056
0.92205,3,TRUE,0.81469,2,0.26747
1.7105,3,FALSE,0.74906,2,-0.31973
1.5463,3,TRUE,4.4704,2,0.23747
2.5299,3,TRUE,2.2569,1,0.32252
1.8305,3,FALSE,1.9718,1,-0.24452
1.5822,3,FALSE,-3.8797,2,0.43862
0,3,FALSE,0.15594,1,0.14114
1.3628,4,FALSE,1.9492,1,0.36077
1.8234,4,FALSE,-1.1439,2,-0.2426
1.8353,4,FALSE,2.83,2,0.59257
1.815,4,TRUE,1.7529,2,-0.013728
1.6034,4,TRUE,0.09876,2,0.26905
1.9115,4,FALSE,1.0497,2,0.094047
1.8512,4,FALSE,0.37039,2,0.054089
2.1912,4,TRUE,0.99271,2,-0.055797
0,4,FALSE,3.174,1,0.50395
1.5274,4,TRUE,-1.7055,1,0.10523
1.2673,4,FALSE,2.1286,2,0.37308
2.759,4,TRUE,0.26858,1,0.13933
1.0756,4,FALSE,0.66817,2,0.22205
1.1034,4,FALSE,5.9556,1,0.47732
1.2912,4,TRUE,1.8848,1,0.057232
2.263,4,FALSE,-0.037998,2,0.56322
1.1237,4,FALSE,-1.7552,1,0.20049
1.6556,4,FALSE,0.85411,2,-0.083804
1.7792,4,TRUE,0.79976,2,-0.053625
1.7954,4,FALSE,0.315,2,0.20676
1.5792,4,TRUE,-0.27237,2,0.19234
2.871,4,TRUE,2.5356,1,0.074254
0,4,FALSE,-0.98193,1,0.42258
1.5152,4,FALSE,2.2762,2,0.31227
1.7268,4,TRUE,0.28861,2,0.30191
1.3718,4,FALSE,1.3907,1,-0.11536
1.4148,4,FALSE,1.8181,2,0.14059
1.6554,4,FALSE,1.1174,1,0.13008
0,4,FALSE,0.79244,1,-0.16586
1.3949,4,TRUE,2.8227,2,-0.035943
1.4874,4,FALSE,3.1883,1,0.24899
2.195,4,FALSE,1.8558,1,-0.065585
1.735,4,TRUE,0.45051,2,0.082515
1.4794,4,TRUE,-0.66531,2,-0.030116
1.9391,4,TRUE,1.4648,2,0.47374
0,4,FALSE,2.2122,1,-0.35819
1.6675,4,TRUE,-0.51318,2,-0.27624
1.9513,4,FALSE,1.8009,2,-0.10755
0,4,FALSE,-0.60956,1,0.084573
2.543,4,TRUE,0.72134,2,0.13161
1.8347,4,FALSE,2.1661,1,0.31733
1.5193,4,FALSE,1.828,1,0.39985
2.079,4,FALSE,1.0384,1,-0.029803
2.5317,4,TRUE,3.2679,2,0.14511
2.1194,4,FALSE,-0.72547,1,-0.10759
1.6112,4,FALSE,0.74284,1,0.23323
2.0915,4,FALSE,0.51167,1,0.18699
2.4873,4,FALSE,0.18795,1,-0.16555
2.327,4,TRUE,0.049244,2,0.30214
1.794,4,TRUE,-0.063273,2,0.3965
1.6139,4,FALSE,0.85388,2,0.35503
1.5305,4,TRUE,0.7165,2,-0.3024
1.6221,4,TRUE,1.3038,2,0.042967
1.554,4,FALSE,2.7116,2,-0.083932
2.5578,4,FALSE,0.1487,2,0.16792
1.5136,4,TRUE,-1.1469,2,0.1474
1.5342,4,FALSE,0.62527,1,-0.051284
1.7626,4,TRUE,-1.7616,1,-0.29823
2.2222,4,TRUE,1.7156,2,-0.04142
1.4419,4,TRUE,1.2606,2,0.076904
2.0459,4,TRUE,0.88838,2,0.20405
2.0177,4,FALSE,1.6265,2,0.022829
1.3103,4,FALSE,1.6271,1,0.20616
2.3142,4,TRUE,1.577,2,0.053738
2.8139,4,TRUE,2.4449,2,0.20044
1.6259,4,FALSE,2.5227,2,-0.25381
1.5823,4,FALSE,-1.9508,1,0.48996
2.5061,4,TRUE,-4.8635,2,0.56896
2.0699,4,TRUE,-0.42252,1,0.367
1.5135,4,FALSE,-1.8882,2,-0.093576
1.4542,4,FALSE,-0.54286,2,-0.14669
1.9019,4,FALSE,2.5354,2,0.47512
1.2504,4,FALSE,0.61401,1,0.4919
2.0976,4,TRUE,-0.84757,1,-0.25414
1.4929,4,FALSE,0.41069,2,0.011695
1.2284,4,FALSE,-0.0088957,2,0.10729
1.6652,4,FALSE,0.27864,1,0.11088
2.4368,4,FALSE,1.4544,2,0.64427
1.8007,4,FALSE,1.6218,1,0.48679
1.7005,4,TRUE,3.3855,2,0.43806
1.745,4,FALSE,0.47174,2,0.0032602
2.7725,4,TRUE,2.3063,1,0.12237
2.7247,4,FALSE,2.3059,2,0.3081
1.1046,4,TRUE,0.85624,2,0.12378
1.4443,4,FALSE,1.344,1,0.016799
1.5131,4,FALSE,-0.0022124,1,0.17113
1.6529,4,TRUE,0.77031,2,0.36819
0,4,FALSE,-0.82872,1,0.31641
1.497,4,FALSE,2.5875,2,-0.29672
2.0127,4,TRUE,2.5513,2,0.40984
2.0806,4,TRUE,0.17687,2,-0.31533
0,4,FALSE,-1.527,1,0.15307
1.0331,4,FALSE,0.28869,2,0.38725
1.9407,4,FALSE,1.5528,2,0.69977
2.6633,4,TRUE,0.60317,1,-0.18101
1.6824,4,FALSE,1.669,1,0.091716
2.7628,4,FALSE,3.1542,2,0.31057
1.7027,4,TRUE,1.7122,2,-0.073997
0,4,FALSE,-1.7894,1,0.48849
1.791,4,TRUE,0.5019,2,0.42335
2.0829,4,FALSE,0.83537,2,0.016597
2.3986,4,FALSE,1.7385,2,0.071124
1.4585,4,TRUE,1.101,2,0.40099
1.2631,4,TRUE,0.2126,2,0.036197
1.939,4,FALSE,0.8993,1,0.13895
0,4,FALSE,0.25819,1,0.21072
1.0067,4,TRUE,1.751,1,-0.069945
0.89107,4,TRUE,0.79087,1,-0.15712
1.4151,4,FALSE,1.5878,1,0.54305
2.3949,4,FALSE,0.064712,2,0.34579
0,4,FALSE,-0.71928,1,0.40512
1.1669,4,TRUE,1.0743,2,0.15041
1.8108,4,FALSE,0.64918,2,0.21933
1.4226,4,TRUE,-1.1574,1,0.097998
1.9223,4,FALSE,1.0286,2,0.10764
2.543,4,FALSE,0.76474,2,-0.09226
1.8987,4,FALSE,0.34654,2,0.29899
1.0509,4,TRUE,-0.69219,2,0.066564
1.2154,4,TRUE,1.845,2,0.26597
0,4,FALSE,0.5689,1,0.49708
1.355,4,FALSE,0.5333,2,-0.41971
1.7114,4,TRUE,0.76326,2,-0.26573
1.9072,4,TRUE,1.2848,1,0.24303
1.6469,4,FALSE,0.85379,2,0.32052
1.3069,4,TRUE,2.0294,2,0.25737
2.0235,4,FALSE,1.0526,2,0.24079
1.9633,4,FALSE,-2.1366,2,0.042618
1.6631,4,TRUE,1.4193,1,0.51363
2.7948,4,TRUE,0.8289,2,-0.11135
1.3434,4,FALSE,2.7583,1,-0.24689
1.8192,4,TRUE,0.46731,2,0.25697
1.5512,4,FALSE,2.1439,2,-0.13888
1.939,4,TRUE,1.1415,2,0.22616
2.9116,4,TRUE,0.34276,1,-0.12611
1.5229,4,TRUE,2.7926,1,0.028445
1.447,4,FALSE,1.5482,1,-0.071233
1.6747,4,TRUE,2.2147,2,0.28454
1.0234,4,FALSE,1.0435,2,0.036721
1.4113,4,TRUE,3.2101,2,0.30558
2.079,4,FALSE,0.69978,2,0.025267
1.2313,4,FALSE,-0.71337,2,0.11963
0.98724,4,FALSE,1.7541,1,-0.10614
1.2748,5,TRUE,1.6055,2,0.23073
1.6786,5,FALSE,-0.38607,2,-0.016233
2.8745,5,FALSE,-0.14787,1,-0.016377
2.1749,5,FALSE,1.8919,2,0.24319
1.4187,5,FALSE,-0.87826,2,0.25036
1.3184,5,FALSE,-1.2516,2,0.073708
1.8621,5,TRUE,0.48061,2,0.22676
2.1068,5,FALSE,0.53975,1,0.2032
2.1266,5,TRUE,-0.46071,1,0.50636
2.0743,5,FALSE,0.2497,2,-0.30101
2.0383,5,TRUE,1.7131,2,0.49366
1.9627,5,TRUE,-1.5176,2,0.059206
1.4066,5,TRUE,1.8157,2,0.19515
1.8184,5,FALSE,1.4133,2,0.21836
1.9669,5,FALSE,3.014,2,-0.10866
2.1068,5,TRUE,1.8209,1,0.14644
1.4227,5,FALSE,-1.6602,2,0.34172
1.7466,5,TRUE,2.1624,2,0.40455
1.4228,5,FALSE,-0.025877,2,0.23478
1.8745,5,TRUE,3.3522,2,0.30909
1.6546,5,TRUE,0.58355,1,0.1142
1.9142,5,FALSE,0.076501,2,0.079059
2.007,5,TRUE,3.1735,2,0.46865
1.2827,5,TRUE,0.70662,2,0.083136
1.8224,5,FALSE,-0.29274,2,0.40188
1.4104,5,TRUE,0.30205,1,0.15785
2.2932,5,TRUE,2.6904,2,0.10782
1.5294,5,FALSE,0.69628,2,0.4023
1.3738,5,TRUE,-0.11837,2,0.27095
1.5696,5,FALSE,-1.0567,2,0.099868
1.9851,5,FALSE,-0.033685,2,0.0071587
1.0256,5,TRUE,0.51489,1,0.54854
2.1814,5,FALSE,0.092404,2,0.12343
